prev_id,curr_id,n,prev_title,curr_title,type
39949337,18938265,24,Drunk_History,"\"Weird_Al\"_Yankovic",link
,1261557,33,other-yahoo,Heroes,other
6041,18938265,10,List_of_comedians,"\"Weird_Al\"_Yankovic",link
627511,18938265,12,Victoria_Jackson,"\"Weird_Al\"_Yankovic",link
36922845,12565141,25,TVXQ_filmography,"\"O\"-Jung.Ban.Hap.",link
751761,1261557,26,Tony_Visconti,Heroes,link
1871528,1896643,75,Mike_Polchlopek,"\"Dr._Death\"_Steve_Williams",link
681837,18938265,160,"\"Weird_Al\"_Yankovic_in_3-D","\"Weird_Al\"_Yankovic",link
292279,1831030,32,List_of_recurring_The_Simpsons_characters,"$pringfield_(or,_How_I_Learned_to_Stop_Worrying_and_Love_Legalized_Gambling)",other
,36439291,10,other-wikipedia,_(disambiguation)	other,
10672,18938265,56,Frank_Zappa,"\"Weird_Al\"_Yankovic",link
35060284,1261557,31,Robert_Fripp_discography,Heroes,link
44786839,18938265,31,List_of_The_Late_Late_Show_episodes_(2015_guest_hosts),"\"Weird_Al\"_Yankovic",other
,6893310,23,other-google,!Hero_(album),other
51278,18938265,21,"Albuquerque,_New_Mexico","\"Weird_Al\"_Yankovic",other
1448572,1261557,2625,Low_(David_Bowie_album),Heroes,link
8567624,18938265,18,"Tim_and_Eric_Awesome_Show,_Great_Job!","\"Weird_Al\"_Yankovic",link
,37813210,12,other-other,Where_Are_Your_Keys?,other
4109439,18938265,21,"You_Don't_Love_Me_Anymore_(\"Weird_Al\"_Yankovic_song)","\"Weird_Al\"_Yankovic",link
433230,18938265,29,California_Polytechnic_State_University,"\"Weird_Al\"_Yankovic",other
9903893,18938265,12,List_of_Italian-American_entertainers,"\"Weird_Al\"_Yankovic",link
,25033979,36,other-wikipedia,"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)",other
,1578140,233,other-wikipedia,%s,other
23085408,3564374,76,Legends_of_Mount_Shasta,"\"I_AM\"_Activity",link
1442421,,12,"Chadds_Ford_Township,_Delaware_County,_Pennsylvania","\"The_Mills\",_Andrew_Wyeth_home_and_studio",redlink
31526507,18938265,31,How_I_Met_Your_Mother_(season_7),"\"Weird_Al\"_Yankovic",link
1872502,331586,10,Boy-Scoutz_'n_the_Hood,"\"Crocodile\"_Dundee",other
7297505,18938265,25,Kristen_Schaal,"\"Weird_Al\"_Yankovic",other
,39304968,108,other-google,"\"David_Hockney:_A_Bigger_Picture\"_in_Bilbao",other
1728819,39304968,17,Brian_Sewell,"\"David_Hockney:_A_Bigger_Picture\"_in_Bilbao",link
993933,1896643,17,Rikishi_(wrestler),"\"Dr._Death\"_Steve_Williams",link
31976181,6810768,51,"List_of_death_metal_bands,_!–K",!T.O.O.H.!,link
34571991,28612415,446,Tension_(Die_Antwoord_album),$O$_(Die_Antwoord_album),other
2258507,18938265,39,Albuquerque_(song),"\"Weird_Al\"_Yankovic",link
,1478845,136,other-empty,"\"Repent,_Harlequin!\"_Said_the_Ticktockman",other
1896801,1896643,35,The_Varsity_Club,"\"Dr._Death\"_Steve_Williams",link
59993,18938265,21,Smells_Like_Teen_Spirit,"\"Weird_Al\"_Yankovic",link
39737124,,23,Yoon_So-hee,EXO_Music_Video_Drama,redlink
700842,1261557,11,David_Bowie_(1969_album),Heroes,link
5885018,11489847,18,God_Street_Wine,$1.99_Romances,link
1022198,4213160,12,Heist,$_(film),link
,563697,36,other-wikipedia,"\"Master_Harold\"...and_the_Boys",other
4109934,18938265,11,Spy_Hard_(song),"\"Weird_Al\"_Yankovic",link
21222062,1261557,17,Brian_Eno,Heroes,link
905528,331586,20,List_of_films_set_in_Australia,"\"Crocodile\"_Dundee",other
238004,331586,15,The_Rescuers_Down_Under,"\"Crocodile\"_Dundee",other
1782176,18938265,14,Bad_(Michael_Jackson_song),"\"Weird_Al\"_Yankovic",link
3747865,563697,32,Master_Harold_and_the_Boys,"\"Master_Harold\"...and_the_Boys",link
,3564374,43,other-yahoo,"\"I_AM\"_Activity",other
1286898,1896643,19,Mitsuharu_Misawa,"\"Dr._Death\"_Steve_Williams",link
32291112,18938265,45,List_of_My_Little_Pony:_Friendship_Is_Magic_characters,"\"Weird_Al\"_Yankovic",link
10128701,18938265,14,The_Biggest_Ball_of_Twine_in_Minnesota,"\"Weird_Al\"_Yankovic",link
2100406,1896643,38,The_Bushwhackers,"\"Dr._Death\"_Steve_Williams",link
,7630017,137,other-wikipedia,"\"Weird_Al\"_Yankovic_discography",other
,27111155,187,other-google,"\"You've_Got\"_the_Touch",other
196020,331586,12,Crocodilia,"\"Crocodile\"_Dundee",link
566405,331586,26,Saltwater_crocodile,"\"Crocodile\"_Dundee",other
159547,25033979,25,Milla_Jovovich,"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)",other
70209,331586,153,Cinema_of_Australia,"\"Crocodile\"_Dundee",link
17935523,1896643,17,Starrcade_(1999),"\"Dr._Death\"_Steve_Williams",link
1260011,1261557,27,The_Idiot_(album),Heroes,link
35421075,28612415,49,Evil_Boy,$O$_(Die_Antwoord_album),other
5254612,18938265,11,Yo_Gabba_Gabba!,"\"Weird_Al\"_Yankovic",link
88609,331586,38,Star_Trek_IV:_The_Voyage_Home,"\"Crocodile\"_Dundee",link
11901898,18938265,12,Here's_Johnny,"\"Weird_Al\"_Yankovic",link
,1261557,423,other-wikipedia,Heroes,other
183860,18938265,13,National_Speech_and_Debate_Association,"\"Weird_Al\"_Yankovic",link
690045,1896643,21,Sid_Eudy,"\"Dr._Death\"_Steve_Williams",link
1696824,,20,"Kirkwood,_Atlanta","\"Future_(rapper)\"_on_@Wikipedia:_https://en.wikipedia.org/wiki/Future_(rapper)",redlink
24146787,3564374,40,List_of_UFO_religions,"\"I_AM\"_Activity",link
,4042422,42,other-empty,$2,other
2290650,2641242,18,Still_Life_(disambiguation),"\"Still_Life\"_(American_Concert_1981)",link
,8617839,18,other-empty,"Good_Luck,_Father_Ted",other
,39007767,33,other-google,$100_Guitar_Project,other
579700,1896643,245,Steve_Williams,"\"Dr._Death\"_Steve_Williams",link
2548364,1896643,25,Dutch_Mantel,"\"Dr._Death\"_Steve_Williams",link
